Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,Measure Name,Neph Comm and Caring Achievement Measure Rate,Neph Comm and Caring Measure Score,State Average Neph Comm and Caring Measure Score,National Average Neph Comm and Caring Measure Score,Quality of Dialysis Care and Ops Achievement Measure Rate,Quality of Dialysis Care and Ops Measure Score,State Average Quality of Dialysis Care and Ops Measure Score,National Average Quality of Dialysis Care and Ops Measure Score,Providing Info to Patients Achievement Measure Rate,Providing Info to Patients Measure Score,State Average Providing Info to Patients Measure Score,National Average Providing Info to Patients Measure Score,Overall Rating of Neph Achievement Measure Rate,Overall Rating of Neph Measure Score,State Average Overall Rating of Neph Measure Score,National Average Overall Rating of Neph Measure Score,Overall Rating of Dialysis Staff Achievement Measure Rate,Overall Rating of Dialysis Staff Measure Score,State Average Overall Rating of Dialysis Staff Measure Score,National Average Overall Rating of Dialysis Staff Measure Score,Overall Rating of Dialysis Facility Achievement Measure Rate,Overall Rating of Dialysis Facility Measure Score,State Average Overall Rating of Dialysis Facility Measure Score,National Average Overall Rating of Dialysis Facility Measure Score,ICHCAHPS Measure Score,ICH CAHPS Reason for No Score (See Footnotes File),State Average ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score
062501 ROCKY MOUNTAIN DIALYSIS (FMC),062501,-,4600 HALE PKWY STE 120,DENVER,CO,80220,15,ICH CAHPS,69.90%,6,5,4,50.58%,0,4,4,77.12%,3,6,5,63.97%,5,4,4,53.58%,2,5,4,62.40%,3,5,4,3,-,5,5
062505 NORTHERN COLORADO KIDNEY CENTER (FMC),062505,-,2107 S. TIMBERLINE RD,FORT COLLINS,CO,80525,15,ICH CAHPS,55.37%,0,5,4,53.78%,0,4,4,82.13%,6,6,5,53.13%,2,4,4,68.78%,7,5,4,71.45%,6,5,4,4,-,5,5
062510 GREELEY DIALYSIS (FMC),062510,-,2343 W 27TH ST STE 503,GREELEY,CO,80634,15,ICH CAHPS,69.23%,5,5,4,52.67%,0,4,4,81.52%,6,6,5,51.59%,1,4,4,47.69%,0,5,4,52.11%,0,5,4,2,-,5,5
062520 PUEBLO DIALYSIS (FMC),062520,-,41 MONTEBELLO RD STE 102,PUEBLO,CO,81001,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062522 CANON CITY DIALYSIS (FMC),062522,-,2245 FREMONT DR,CANON CITY,CO,81212,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062523 LOVELAND DIALYSIS (FMC),062523,-,2940 GINNALA DR,LOVELAND,CO,80538,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062525 LA JUNTA DIALYSIS (FMC),062525,-,1012 HAYES AVE,La Junta,CO,81050,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062526 WALSENBURG DIALYSIS (FMC),062526,-,23450 HIGHWAY 160,WALSENBURG,CO,81089,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062527 NORTHEAST DENVER DIALYSIS (FKC),062527,-,590 LAREDO ST,Aurora,CO,80017,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062530 MONTROSE DIALYSIS (DCI),062530,-,846 SOUTH 5TH STREET,MONTROSE,CO,81401,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062536 LAMAR DIALYSIS (FMC),062536,-,108 WEST LEE AVE,LAMAR,CO,81052,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,7",5,5
062537 PUEBLO SOUTH DIALYSIS (FMC),062537,-,3426 LAKE AVENUE STE 110,PUEBLO,CO,81004,15,ICH CAHPS,71.77%,7,5,4,66.21%,7,4,4,79.68%,4,6,5,67.34%,6,4,4,68.31%,7,5,4,71.25%,6,5,4,6,-,5,5
062538 GRAND JUNCTION DIALYSIS (DCI),062538,-,2748 CROSSROADS BLVD,GRAND JUNCTION,CO,81506,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062545 AURORA DIALYSIS (FMC),062545,-,962 POTOMAC CIR,AURORA,CO,80011,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062548 STAPLETON DIALYSIS (FMC),062548,-,7606 E 36TH AVE,DENVER,CO,80238,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062554 KIDNEY CENTER OF ARVADA (ARA),062554,-,5265 VANCE ST,ARVADA,CO,80002,15,ICH CAHPS,76.89%,9,5,4,74.16%,10,4,4,86.59%,9,6,5,74.07%,9,4,4,85.22%,10,5,4,90.66%,10,5,4,10,-,5,5
062555 KIDNEY CENTER OF LAFAYETTE (ARA),062555,-,2655 CRESCENT DR STE C,LAFAYETTE,CO,80026,15,ICH CAHPS,77.54%,9,5,4,75.42%,10,4,4,90.10%,10,6,5,69.83%,7,4,4,85.26%,10,5,4,88.76%,10,5,4,9,-,5,5
062556 KIDNEY CENTER OF LAKEWOOD (ARA),062556,-,6166 W ALAMEDA AVE,DENVER,CO,80226,15,ICH CAHPS,67.70%,5,5,4,59.93%,3,4,4,85.64%,9,6,5,65.19%,6,4,4,56.10%,3,5,4,73.24%,7,5,4,6,-,5,5
062557 KIDNEY CENTER OF LONGMONT (ARA),062557,-,1960 KEN PRATT BLVD STE A,LONGMONT,CO,80501,15,ICH CAHPS,65.96%,4,5,4,55.99%,1,4,4,88.45%,10,6,5,42.02%,0,4,4,51.87%,1,5,4,66.93%,5,5,4,4,-,5,5
062558 KIDNEY CENTER OF WESTMINSTER (ARA),062558,-,8410 DECATUR ST STE 200,WESTMINSTER,CO,80031,15,ICH CAHPS,83.02%,10,5,4,70.97%,9,4,4,84.28%,8,6,5,75.10%,9,4,4,74.25%,8,5,4,76.75%,8,5,4,9,-,5,5
062560 LIBERTY DIALYSIS - PUEBLO,062560,-,850 EAGLERIDGE BLVD,PUEBLO,CO,81008,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062563 LIBERTY DIALYSIS - COLORADO SPRINGS NORTH (FMC),062563,-,2180 HOLLOWBROOK DR,COLORADO SPRINGS,CO,80918,15,ICH CAHPS,63.46%,3,5,4,64.31%,6,4,4,84.94%,8,6,5,55.37%,2,4,4,66.10%,6,5,4,76.97%,8,5,4,6,-,5,5
062564 LIBERTY DIALYSIS - COLORADO SPRINGS SOUTH (FMC),062564,-,2508 AIRPORT RD,COLORADO SPRINGS,CO,80909,15,ICH CAHPS,75.84%,8,5,4,66.95%,7,4,4,90.63%,10,6,5,70.98%,8,4,4,75.67%,9,5,4,76.05%,7,5,4,8,-,5,5
062566 LIBERTY DIALYSIS COLORADO SPRINGS CENTRAL (FMC),062566,-,1910 E LELARAY ST,COLORADO SPRINGS,CO,80909,15,ICH CAHPS,64.56%,3,5,4,57.30%,2,4,4,81.71%,6,6,5,61.28%,4,4,4,43.44%,0,5,4,58.59%,2,5,4,3,-,5,5
062568 PUEBLO WEST DIALYSIS (FMC),062568,-,73 N ASPEN SKI WAY,PUEBLO WEST,CO,81007,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062570 KIDNEY CENTER OF BEAR CREEK (ARA),062570,-,11058 WEST JEWELL AVE,LAKEWOOD,CO,80232,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062571 THORNTON KIDNEY CENTER LLC  (ARA),062571,-,8451 PEARL STREET,THORNTON,CO,80229,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062573 KIDNEY CENTER ON MAIN (ARA),062573,-,2144 MAIN ST STE 2,LONGMONT,CO,80501,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062575 PAVILION DIALYSIS (FMC),062575,-,723 DELAWARE ST #M105,DENVER,CO,80204,15,ICH CAHPS,76.09%,8,5,4,60.41%,4,4,4,87.22%,10,6,5,64.68%,6,4,4,68.55%,7,5,4,74.67%,7,5,4,7,-,5,5
062578 -  WEST HAMPDEN DIALYSIS (FMC),062578,-,750 WEST HAMPDEN AVE #110,ENGLEWOOD,CO,80110,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062580 NORTHERN COLORADO HOME THERAPY DIALYSIS (FMC),062580,-,5285 MCWHINNEY BLVD #190,LOVELAND,CO,80538,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"5,7",5,5
062581 KIDNEY CENTER OF NORTHRIDGE (ARA),062581,-,"1865 W 121ST AVE, STE 300C",Westminster,CO,80234,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062583 PARKER KIDNEY CENTER (ARA),062583,-,18320 E COTTONWOOD DR STE C,PARKER,CO,80138,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062584 SOUTH DENVER DIALYSIS (FMC),062584,-,3410 S GALENA ST SUITE 100,DENVER,CO,80231,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062585 NORTH GREELEY DIALYSIS (FMC),062585,-,1212 9TH ST,GREELEY,CO,80631,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062587 KIDNEY CENTER OF WHEAT RIDGE (ARA),062587,-,6920 W 38TH AVE,WHEAT RIDGE,CO,80033,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
062589-KIDNEY CENTER OF THE ROCKIES,062589,-,50 BUCK CREEK ROAD - SUITE 110,AVON,CO,81620,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,7,5,5
062590-KIDNEY CENTER OF FREDERICK,062590,-,5992 IRIS PARKWAY,LONGMONT,CO,80504,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,7,5,5
062593-Fresenius Medical Care Dialyis Services Colora,062593,-,1526 OAKRIDGE DR,Fort Collins,CO,80525,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,5,9",5,5
292500 DESERT INN DIALYSIS (FMC),292500,-,"2545 S BRUCE ST, STE 100",LAS VEGAS,NV,89169,15,ICH CAHPS,57.95%,0,3,4,56.20%,2,6,4,70.19%,0,5,5,41.68%,0,2,4,60.34%,4,6,4,59.54%,2,5,4,1,-,5,5
292506 NORTHWEST LAS VEGAS DIALYSIS (FMC),292506,-,3150 N TENAYA WAY STE 110,LAS VEGAS,NV,89128,15,ICH CAHPS,81.21%,10,3,4,75.70%,10,6,4,85.28%,8,5,5,72.50%,8,2,4,77.66%,10,6,4,90.01%,10,5,4,9,-,5,5
292508 CARSON CITY DIALYSIS (DCI),292508,-,778 BASQUE WAY,CARSON CITY,NV,89706,15,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,2,4,No Rate,No Score,6,4,No Rate,No Score,5,4,No Score,4,5,5
292513 SOUTH PECOS (FMC),292513,-,6330 S PECOS STE 110,LAS VEGAS,NV,89120,15,ICH CAHPS,71.69%,6,3,4,68.77%,8,6,4,78.53%,4,5,5,53.36%,2,2,4,66.38%,6,6,4,69.36%,5,5,4,5,-,5,5
292516 ELKO DIALYSIS (DCI),292516,-,1995 ERRECART BLVD STE 100,ELKO,NV,89801,15,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,2,4,No Rate,No Score,6,4,No Rate,No Score,5,4,No Score,4,5,5
292519 LAKE MEAD NORTH (FMC),292519,-,1581 MOUNT MARIAH DRIVE - SUITE 100,LAS VEGAS,NV,89106,15,ICH CAHPS,59.93%,1,3,4,63.11%,5,6,4,74.73%,1,5,5,53.35%,2,2,4,69.16%,7,6,4,71.71%,6,5,4,4,-,5,5
292523 RED MOON DIALYSIS,292523,-,900 S MAIN ST,LAS VEGAS,NV,89101,15,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,2,4,No Rate,No Score,6,4,No Rate,No Score,5,4,No Score,4,5,5
292527 FIRE MESA DIALYSIS (FMC),292527,-,2450 FIRE MESA ST STE 120,LAS VEGAS,NV,89128,15,ICH CAHPS,64.33%,3,3,4,63.35%,5,6,4,82.44%,6,5,5,55.89%,3,2,4,58.34%,3,6,4,56.52%,1,5,4,4,-,5,5
292529 SOUTH RAINBOW DIALYSIS (FMC),292529,-,7040 W SUNSET RD,LAS VEGAS,NV,89113,15,ICH CAHPS,75.74%,8,3,4,69.79%,8,6,4,79.36%,4,5,5,59.53%,4,2,4,74.00%,8,6,4,66.41%,4,5,4,6,-,5,5
292532 DESERT VALLEY DIALYSIS,292532,-,350 FALCON RIDGE PKWY STE 104 - BLDG 700,MESQUITE,NV,89027,15,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,2,4,No Rate,No Score,6,4,No Rate,No Score,5,4,No Score,4,5,5
292533 LIBERTY DIALYSIS - RENO HOME DIALYSIS,292533,-,601 SIERRA ROSE DR STE 201,RENO,NV,89511,15,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,2,4,No Rate,No Score,6,4,No Rate,No Score,5,4,No Score,"4,5,7",5,5
292535 GARDNERVILLE DIALYSIS (DCI),292535,-,1281 KIMMERLING RD STE A1,GARDNERVILLE,NV,89460,15,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,2,4,No Rate,No Score,6,4,No Rate,No Score,5,4,No Score,4,5,5
292537 LIBERTY DIALYSIS - SOUTH RENO,292537,-,601 SIERRA ROSE DR STE 101,RENO,NV,89511,15,ICH CAHPS,47.05%,0,3,4,51.09%,0,6,4,69.74%,0,5,5,35.04%,0,2,4,50.23%,1,6,4,66.64%,4,5,4,1,-,5,5
292540 LIBERTY DIALYSIS - CARSON CITY,292540,-,4500 S CARSON ST,CARSON CITY,NV,89701,15,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,2,4,No Rate,No Score,6,4,No Rate,No Score,5,4,No Score,4,5,5
292541 LIBERTY DIALYSIS - NORTHWEST RENO,292541,-,6144 MAE ANNE AVE,RENO,NV,89523,15,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,2,4,No Rate,No Score,6,4,No Rate,No Score,5,4,No Score,4,5,5
292542 CENTENNIAL DIALYSIS (FMC),292542,-,7465 W AZURE DR STE 1A,LAS VEGAS,NV,89130,15,ICH CAHPS,56.12%,0,3,4,69.19%,8,6,4,78.35%,4,5,5,49.94%,1,2,4,77.09%,9,6,4,77.31%,8,5,4,5,-,5,5
292543 LIBERTY DIALYSIS - LAS VEGAS (FMC),292543,-,6970 W PATRICK LN STE 100B,LAS VEGAS,NV,89113,15,ICH CAHPS,67.76%,5,3,4,66.41%,7,6,4,82.35%,6,5,5,75.05%,9,2,4,71.11%,7,6,4,71.10%,6,5,4,7,-,5,5
292544 WEST SAHARA DIALYSIS (FMC),292544,-,7710 WEST SAHARA AVE STE 120,LAS VEGAS,NV,89117,15,ICH CAHPS,69.82%,6,3,4,70.39%,9,6,4,91.90%,10,5,5,49.99%,1,2,4,73.51%,8,6,4,79.55%,9,5,4,7,-,5,5
292545 LIBERTY DIALYSIS - SPARKS (FMC),292545,-,5915 S LOS ALTOS PKWY,SPARKS,NV,89436,15,ICH CAHPS,58.30%,1,3,4,61.53%,4,6,4,85.97%,9,5,5,48.77%,0,2,4,66.78%,6,6,4,57.65%,2,5,4,4,-,5,5
292546 DaVita Winnemucca Dialysis,292546,-,830 FAIRGROUNDS ROAD,WINNEMUCCA,NV,89445,15,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,2,4,No Rate,No Score,6,4,No Rate,No Score,5,4,No Score,7,5,5
292549 NORTHEAST LAS VEGAS (FMC),292549,-,321 N. NELLIS BLVD SUITE 120,LAS VEGAS,NV,89110,15,ICH CAHPS,56.38%,3,3,4,61.99%,4,6,4,82.29%,6,5,5,36.63%,0,2,4,67.40%,6,6,4,72.72%,6,5,4,4,-,5,5
292550 SANDERLING DIALYSIS CENTER,292550,-,701 E 15TH ST,ELY,NV,89301,15,ICH CAHPS,No Rate,0,3,4,No Rate,0,6,4,No Rate,0,5,5,No Rate,0,2,4,No Rate,0,6,4,No Rate,0,5,4,0,-,5,5
292551 FMC-Oasis,292551,-,1661 W HORIZON RIDGE PARKWAY - SUITE 101,HENDERSON,NV,89012,15,ICH CAHPS,68.15%,5,3,4,72.76%,10,6,4,83.32%,7,5,5,49.27%,0,2,4,57.09%,3,6,4,64.95%,4,5,4,5,-,5,5
292556-American Dialysis Centers North Las Vegas LLC,292556,-,4107 W CHEYENNE AVENUE,North Las Vegas,NV,89032,15,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,2,4,No Rate,No Score,6,4,No Rate,No Score,5,4,No Score,"4,5,9",5,5
292557-Sahara Dialysis Center,292557,-,2350 STOCKTON AVENUE,Las Vegas,NV,89104,15,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,2,4,No Rate,No Score,6,4,No Rate,No Score,5,4,No Score,"4,5,9",5,5
322310 UNM PEDIATRIC DIALYSIS,322310,320001,2211 LOMAS BLVD NE BOX 256,ALBUQUERQUE,NM,87106,15,ICH CAHPS,No Rate,No Score,2,4,No Rate,No Score,2,4,No Rate,No Score,3,5,No Rate,No Score,2,4,No Rate,No Score,3,4,No Rate,No Score,2,4,No Score,"4,7",3,5
322500 NEW MEXICO ARTIFICIAL KIDNEY CENTER (FMC),322500,-,1600 RANDOLPH SE STE 100,ALBUQUERQUE,NM,87106,15,ICH CAHPS,No Rate,No Score,2,4,No Rate,No Score,2,4,No Rate,No Score,3,5,No Rate,No Score,2,4,No Rate,No Score,3,4,No Rate,No Score,2,4,No Score,4,3,5
322501 SANTA FE DIALYSIS (FMC),322501,-,641 HARKLE RD,SANTA FE,NM,87505,15,ICH CAHPS,69.05%,5,2,4,62.92%,5,2,4,79.63%,4,3,5,64.40%,5,2,4,60.82%,4,3,4,64.00%,4,2,4,5,-,3,5
322504 ALBUQUERQUE KIDNEY CENTER (FMC),322504,-,11296 LOMAS BLVD NE,ALBUQUERQUE,NM,87112,15,ICH CAHPS,51.56%,0,2,4,55.05%,2,2,4,78.83%,4,3,5,48.77%,1,2,4,56.18%,3,3,4,59.10%,2,2,4,2,-,3,5
322505 LAS CRUCES DIALYSIS (FMC),322505,-,3875 FOOTHILLS RD,LAS CRUCES,NM,88011,15,ICH CAHPS,64.64%,3,2,4,60.16%,4,2,4,78.71%,4,3,5,64.08%,5,2,4,60.26%,4,3,4,70.61%,6,2,4,4,-,3,5
322506 ALBUQUERQUE DIALYSIS (DCI),322506,-,1500 INDIAN SCHOOL RD NE,ALBUQUERQUE,NM,87102,15,ICH CAHPS,56.96%,0,2,4,53.40%,0,2,4,71.74%,0,3,5,51.58%,1,2,4,50.61%,1,3,4,59.13%,2,2,4,1,-,3,5
322507 SILVER CITY DIALYSIS (DCI),322507,-,1310 SUNSET LN,SILVER CITY,NM,88061,15,ICH CAHPS,No Rate,No Score,2,4,No Rate,No Score,2,4,No Rate,No Score,3,5,No Rate,No Score,2,4,No Rate,No Score,3,4,No Rate,No Score,2,4,No Score,4,3,5
322508 ALAMOGORDO DIALYSIS (FMC),322508,-,2578 MEDICAL DR,ALAMOGORDO,NM,88310,15,ICH CAHPS,54.34%,0,2,4,64.92%,6,2,4,85.34%,8,3,5,37.70%,0,2,4,66.16%,6,3,4,68.49%,5,2,4,4,-,3,5
322509 RIO RANCHO DIALYSIS (FMC),322509,-,1760 GRANDE BLVD STE 100,RIO RANCHO,NM,87124,15,ICH CAHPS,61.61%,4,2,4,58.02%,2,2,4,75.48%,3,3,5,60.48%,4,2,4,65.54%,6,3,4,60.03%,2,2,4,4,-,3,5
322510 GRANTS DIALYSIS (DCI),322510,-,1213 BONITA ST,GRANTS,NM,87020,15,ICH CAHPS,No Rate,No Score,2,4,No Rate,No Score,2,4,No Rate,No Score,3,5,No Rate,No Score,2,4,No Rate,No Score,3,4,No Rate,No Score,2,4,No Score,4,3,5
322511 CENTRAL NEW MEXICO KIDNEY CENTER (FMC),322511,-,2800 PALMILLA RD,LOS LUNAS,NM,87031,15,ICH CAHPS,52.27%,2,2,4,55.20%,1,2,4,72.01%,0,3,5,44.30%,1,2,4,41.60%,0,3,4,52.11%,0,2,4,1,-,3,5
322513 ESPANOLA DIALYSIS (FMC),322513,-,1420 CALLE DE LA MERCED,ESPANOLA,NM,87532,15,ICH CAHPS,No Rate,No Score,2,4,No Rate,No Score,2,4,No Rate,No Score,3,5,No Rate,No Score,2,4,No Rate,No Score,3,4,No Rate,No Score,2,4,No Score,4,3,5
322514 TAOS DIALYSIS (DCI),322514,-,1335 MAESTAS RD,TAOS,NM,87571,15,ICH CAHPS,No Rate,No Score,2,4,No Rate,No Score,2,4,No Rate,No Score,3,5,No Rate,No Score,2,4,No Rate,No Score,3,4,No Rate,No Score,2,4,No Score,4,3,5
322516 DEMING DIALYSIS (FMC),322516,-,814 W ADOBE DR,DEMING,NM,88030,15,ICH CAHPS,No Rate,No Score,2,4,No Rate,No Score,2,4,No Rate,No Score,3,5,No Rate,No Score,2,4,No Rate,No Score,3,4,No Rate,No Score,2,4,No Score,4,3,5
322517 PLAINS REGIONAL DIALYSIS CENTER (FMC),322517,-,2117 N THOMAS,CLOVIS,NM,88101,15,ICH CAHPS,No Rate,No Score,2,4,No Rate,No Score,2,4,No Rate,No Score,3,5,No Rate,No Score,2,4,No Rate,No Score,3,4,No Rate,No Score,2,4,No Score,4,3,5
322518 LAS VEGAS NM DIALYSIS (FMC),322518,-,246 MILLS AVE,LAS VEGAS,NM,87701,15,ICH CAHPS,No Rate,No Score,2,4,No Rate,No Score,2,4,No Rate,No Score,3,5,No Rate,No Score,2,4,No Rate,No Score,3,4,No Rate,No Score,2,4,No Score,4,3,5
322519 SOUTHEASTERN NM KIDNEY CENTER (FMC),322519,-,2801 N MAIN SUITE H,ROSWELL,NM,88201,15,ICH CAHPS,68.71%,5,2,4,56.52%,2,2,4,72.34%,0,3,5,44.78%,0,2,4,52.15%,1,3,4,51.15%,0,2,4,1,-,3,5
322520 RIO RANCHO DIALYSIS (DCI),322520,-,4045 JACKIE RD SE,RIO RANCHO,NM,87124,15,ICH CAHPS,No Rate,No Score,2,4,No Rate,No Score,2,4,No Rate,No Score,3,5,No Rate,No Score,2,4,No Rate,No Score,3,4,No Rate,No Score,2,4,No Score,4,3,5
322521 HOBBS DIALYSIS (FMC),322521,-,2827 N DAL PASO STE 105,HOBBS,NM,88240,15,ICH CAHPS,No Rate,No Score,2,4,No Rate,No Score,2,4,No Rate,No Score,3,5,No Rate,No Score,2,4,No Rate,No Score,3,4,No Rate,No Score,2,4,No Score,4,3,5
322522 CARLSBAD DIALYSIS (DCI),322522,320063,2319 OSBORNE RD,CARLSBAD,NM,88220,15,ICH CAHPS,No Rate,No Score,2,4,No Rate,No Score,2,4,No Rate,No Score,3,5,No Rate,No Score,2,4,No Rate,No Score,3,4,No Rate,No Score,2,4,No Score,4,3,5
322523 NORTH ALBUQUERQUE DIALYSIS CENTER (FMC),322523,-,5200 SAN MATEO BLVD NE,Albuquerque,NM,87109,15,ICH CAHPS,72.57%,7,2,4,64.54%,6,2,4,83.27%,7,3,5,53.53%,2,2,4,74.63%,9,3,4,73.25%,7,2,4,6,-,3,5
322524 ACL DIALYSIS (DCI),322524,-,I-40 EXIT 102,SAN FIDEL,NM,87049,15,ICH CAHPS,36.28%,0,2,4,53.55%,0,2,4,76.82%,2,3,5,24.18%,0,2,4,60.00%,4,3,4,63.72%,4,2,4,2,-,3,5
322526 RATON DIALYSIS (DCI),322526,-,900 S SIXTH ST,RATON,NM,87740,15,ICH CAHPS,No Rate,No Score,2,4,No Rate,No Score,2,4,No Rate,No Score,3,5,No Rate,No Score,2,4,No Rate,No Score,3,4,No Rate,No Score,2,4,No Score,7,3,5
322528 LAS CRUCES SOUTH DIALYSIS (FMC),322528,-,2525 S TELSHOR BLVD STE B,LAS CRUCES,NM,88011,15,ICH CAHPS,No Rate,No Score,2,4,No Rate,No Score,2,4,No Rate,No Score,3,5,No Rate,No Score,2,4,No Rate,No Score,3,4,No Rate,No Score,2,4,No Score,4,3,5
