Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Patients Included in Hemoglobin Measure Score Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Patients Included in Hemoglobin Measure Score Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Hemodialysis  Measure Score Performance Period,Number of Kt/V Adult Hemodialysis Patient Months Performance Period,Kt/V Adult Hemodialysis Baseline Period Rate,Number of Kt/V Adult Hemodialysis  Patient Months Baseline Period,Kt/V Adult Hemodialysis Performance Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Peritoneal Dialysis Measure Score  Performance Period,Number of Kt/V Adult Peritoneal Dialysis Patient Months Performance Period,Kt/V Adult Peritoneal Dialysis Baseline Period Rate,Number of Kt/V Adult Peritoneal Dialysis Patient Months Baseline Period,Kt/V Adult Peritoneal Dialysis Performance Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Pediatric Hemodialysis  Measure Score Performance Period,Number of Kt/V Pediatric Hemodialysis Patient Months Performance Period,Kt/V Pediatric Hemodialysis Baseline Period Rate,Number of Kt/V Pediatric Hemodialysis Patient Months Baseline Period,Kt/V Pediatric Hemodialysis Performance Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,Fistula Measure Score,Fistula Performance Period Rate,Number of Patients Included in Fistula Measure Score  Performance Period,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of  Patients Included in Catheter Measure Score Performance Period,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,Total Performance Score,PY2015 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2013",Date of Ownership Record Update
DCI DECATUR,012558,,,,1601 6TH AVENUE SOUTH EAST,,DECATUR,AL,35601,8,10,0%,90,0%,82,Achievement,3,89%,111,933,85%,895,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,9,72%,100,1000,65%,1000,Achievement,6,12%,108,948,19%,910,Achievement,7,10,10,10,10,75,No reduction,05/24/1995,"DIALYSIS CLINIC, INC.",10/25/2012
FMC UNIVERSITY SOUTH ALABAMA,012559,,,,700 CLINIC DRIVE,,MOBILE,AL,36688,8,10,0%,52,3%,62,Achievement,5,91%,58,539,88%,572,Achievement,N/A,Insufficient data,N/A,63,87%,85,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,3,56%,55,598,54%,627,Achievement,8,7%,58,575,4%,590,Achievement,6,10,10,10,10,78,No reduction,01/14/1995,FRESENIUS MEDICAL CARE,05/12/2011
FMC HAMILTON,012560,,,,1256 MILITARY STREET SOUTH,,HAMILTON,AL,35570,8,10,0%,11,0%,15,Achievement,10,99%,19,161,77%,166,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,90%,18,177,71%,175,Achievement,10,2%,20,161,11%,169,Achievement,10,10,10,10,10,100,No reduction,12/11/1995,RENAL CARE GROUP INC.,09/15/2008
FMC LAKEVIEW,012561,,,,"45 MEDICAL PARK DRIVE, SUITE A",,GUNTERSVILLE,AL,35976,8,10,0%,51,0%,45,Achievement,1,87%,74,551,92%,560,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,1,5,61%,66,631,55%,607,Achievement,7,9%,71,585,9%,560,Achievement,6,10,10,10,10,68,No reduction,12/07/1995,FRESENIUS MEDICAL CARE,11/05/2013
DCI PELL CITY,012562,,,,62 COGSWELL DRIVE,,PELL CITY,AL,35125,8,10,0%,21,0%,16,Achievement,6,93%,28,241,88%,205,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,4,58%,25,264,44%,215,Achievement,8,8%,28,245,7%,201,Achievement,6,10,10,10,10,80,No reduction,12/13/1995,"DIALYSIS CLINIC, INC.",01/23/2014
DCI CULLMAN,012563,,,,1734 EVA ROAD NORTHEAST,,CULLMAN,AL,35055,8,10,0%,45,2%,42,Achievement,8,95%,71,541,96%,487,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,6,63%,63,621,72%,549,Achievement,6,11%,65,551,10%,496,Achievement,6,10,10,10,10,85,No reduction,01/04/1996,"DIALYSIS CLINIC, INC.",10/25/2012
SOUTH BALDWIN DIALYSIS CENTER,012565,,,,150 WEST PEACHTREE AVENUE,,FOLEY,AL,36535,8,10,0%,14,0%,19,Achievement,10,97%,22,114,96%,179,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,79%,16,154,62%,200,Achievement,10,0%,18,141,5%,184,Achievement,10,10,10,10,10,100,No reduction,04/02/1996,DAVITA,12/21/2012
FMC SYLACAUGA,012566,,,,314 WEST SPRING STREET,,SYLACAUGA,AL,35150,8,10,0%,17,0%,20,Achievement,7,94%,28,231,91%,240,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,2,52%,23,236,53%,232,Achievement,10,3%,25,222,5%,222,Achievement,6,10,10,10,10,83,No reduction,07/16/1996,RENAL CARE GROUP INC.,10/15/2012
FMC PARKWAY,012568,,,,1311 NORTH MEMORIAL PARKWAY SUITE 100,,HUNTSVILLE,AL,35801,8,10,0%,46,2%,50,Achievement,8,95%,62,546,95%,571,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,10,76%,50,547,74%,589,Achievement,10,3%,53,525,4%,554,Achievement,10,10,10,10,10,95,No reduction,09/03/1996,FRESENIUS MEDICAL CARE,06/21/2007
NORTHPORT DIALYSIS,012570,,,,2401 HOSPITAL DRIVE,,NORTHPORT,AL,35476,8,10,0%,48,0%,51,Achievement,7,94%,69,521,94%,549,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,2,53%,53,545,51%,573,Achievement,9,6%,59,522,5%,502,Achievement,6,10,10,10,10,83,No reduction,12/03/1996,GAMBRO HEALTHCARE,04/15/2011
DCI GEORGIANA,012571,,,,P O BOX 618,,GEORGIANA,AL,36033,8,10,0%,22,0%,26,Achievement,10,98%,27,264,99%,289,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,0,37%,24,279,38%,313,Achievement,10,1%,26,275,4%,304,Achievement,5,10,10,9,10,87,No reduction,12/31/1996,"DIALYSIS CLINIC, INC.",01/10/2013
FMC CAMELLIA,012572,,,,108 L V STABLER DRIVE,,GREENVILLE,AL,36037,8,10,0%,44,0%,40,Achievement,3,86%,54,463,81%,418,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,3,56%,50,535,58%,498,Achievement,6,12%,53,511,7%,466,Achievement,5,10,10,10,10,70,No reduction,02/12/1997,FRESENIUS MEDICAL CARE,11/09/2009
DCI BIRMINGHAM,012573,,,,8713 PARKWAY EAST,,BIRMINGHAM,AL,35206,8,10,0%,35,0%,36,Achievement,5,92%,42,388,90%,389,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,6,64%,38,413,68%,407,Achievement,10,2%,40,394,1%,380,Achievement,8,10,10,10,10,83,No reduction,12/18/1997,"DIALYSIS CLINIC, INC.",06/21/2012
FMC CHAMBERS,012574,,,,802 HOSPITAL STREET,,LAFAYETTE,AL,36862,8,10,0%,20,0%,21,Achievement,6,93%,30,239,95%,250,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,10,85%,25,262,76%,265,Achievement,9,6%,30,246,11%,250,Achievement,9,10,10,10,9,87,No reduction,06/10/1997,FRESENIUS MEDICAL CARE,09/11/2008
RCG WALKER,012575,,,,3510 3RD STREET NORTHEAST,,JASPER,AL,35504,8,10,0%,33,0%,44,Achievement,2,86%,49,370,83%,463,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,2,1,50%,40,383,45%,501,Achievement,8,7%,43,359,10%,469,Achievement,5,10,10,9,10,67,No reduction,01/08/1998,RENAL CARE GROUP INC.,05/10/2011
DCI MONTGOMERY,012576,,,,544 SOUTH MCDONOUGH STREET,,MONTGOMERY,AL,36104,8,6,2%,58,0%,69,Achievement,7,94%,69,618,95%,725,Achievement,N/A,Insufficient data,N/A,74,Insufficient data,54,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,1,44%,56,630,40%,740,Improvement,5,14%,66,610,13%,714,Achievement,3,10,10,10,10,65,No reduction,06/05/1998,"DIALYSIS CLINIC, INC.",09/23/2008
RCG SOUTHSIDE,012578,,,,2131 MAGNOLIA AVENUE SOUTH #100,,BIRMINGHAM,AL,35205,8,10,0%,34,0%,33,Achievement,9,96%,48,427,93%,423,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,0,33%,39,433,36%,419,Achievement,7,10%,39,416,8%,384,Achievement,4,10,10,10,10,83,No reduction,06/18/1998,RENAL CARE GROUP INC.,09/27/2012
FMC DAUPHIN ISLAND PKWY,012579,,,,2381 DAUPHIN ISLAND PARKWAY,,MOBILE,AL,36605,8,10,0%,52,0%,54,Achievement,6,93%,67,596,95%,647,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,6,64%,59,604,67%,652,Achievement,10,2%,62,581,2%,626,Achievement,8,10,10,10,10,85,No reduction,07/08/1998,FRESENIUS MEDICAL CARE,12/12/2012
FMC THOMASVILLE,012580,,,,30230 HIGHWAY 43,,THOMASVILLE,AL,36784,8,10,0%,41,5%,44,Achievement,1,87%,54,452,89%,516,Achievement,N/A,Insufficient data,N/A,7,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,1,1,48%,46,466,46%,529,Achievement,10,1%,49,440,4%,513,Achievement,6,10,10,10,10,68,No reduction,09/15/1998,FRESENIUS MEDICAL CARE,11/17/2011
FMC WILCOX,012582,,,,229 CAMDEN BYPASS,,CAMDEN,AL,36726,8,10,0%,23,0%,24,Achievement,5,92%,34,272,85%,251,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,1,47%,27,277,48%,264,Achievement,6,11%,28,259,4%,243,Achievement,4,10,10,10,10,73,No reduction,11/04/1998,FRESENIUS MEDICAL CARE,09/16/2008
BESSEMER DIALYSIS,012583,,,,901 WESTLAKE MALL,STE 101,BESSEMER,AL,35020,8,10,0%,34,0%,33,Achievement,10,98%,45,329,97%,354,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,0,31%,39,410,36%,383,Achievement,6,12%,40,374,11%,371,Achievement,3,10,10,10,10,83,No reduction,08/01/1998,GAMBRO HEALTHCARE,09/15/2011
ENSLEY DIALYSIS,012585,,,,2630 AVENUE EAST,,BIRMINGHAM,AL,35218,8,10,0%,56,0%,54,Achievement,10,98%,81,626,99%,593,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,2,52%,64,663,52%,627,Achievement,7,9%,67,633,13%,585,Achievement,5,10,10,10,10,88,No reduction,08/01/1998,GAMBRO HEALTHCARE,09/25/2012
SYLACAUGA DIALYSIS,012588,,,,331 JAMES PAYTON BOULEVARD,,SYLACAUGA,AL,35150,8,10,0%,34,3%,34,Achievement,10,98%,33,299,98%,277,Achievement,10,100%,12,110,99%,74,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,1,48%,33,350,51%,303,Achievement,7,9%,34,330,2%,295,Achievement,4,10,10,10,10,85,No reduction,08/01/1998,GAMBRO HEALTHCARE,09/12/2011
BIRMINGHAM NORTH DIALYSIS,012589,,,,1917 32ND AVENUE NORTH,,BIRMINGHAM,AL,35207,8,10,0%,64,0%,60,Achievement,10,98%,85,750,97%,722,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,2,52%,78,819,43%,744,Achievement,10,4%,78,762,6%,699,Achievement,6,10,10,10,10,90,No reduction,08/01/1998,GAMBRO HEALTHCARE,09/15/2008
DCI MOULTON,012590,,,,1962 MAIN STREET,,MOULTON,AL,35650,8,10,0%,28,4%,24,Achievement,5,92%,39,301,94%,233,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,6,63%,35,347,66%,282,Achievement,4,16%,36,310,18%,251,Achievement,5,10,10,10,10,75,No reduction,03/16/1999,"DIALYSIS CLINIC, INC.",01/20/2014
FMC SHELBY,012591,,,,1022 FIRST STREET NORTH,SUITE 101,ALABASTER,AL,35007,8,10,0%,26,0%,26,Achievement,9,96%,48,338,88%,362,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,7,67%,36,345,70%,356,Achievement,8,8%,42,322,3%,337,Achievement,8,10,10,9,10,92,No reduction,04/08/1999,RENAL CARE GROUP INC.,06/29/2007
BIRMINGHAM CENTRAL DIALYSIS,012592,,,,728 RICHARD ARRINGTON BOULEVARD SOUTH,,BIRMINGHAM,AL,35233,8,10,0%,45,0%,54,Achievement,9,96%,62,513,91%,647,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,0,40%,48,524,44%,580,Achievement,3,18%,51,495,13%,594,Achievement,2,10,10,10,10,78,No reduction,08/01/1998,GAMBRO HEALTHCARE,03/04/2011
FMC ODYSSEY DIALYSIS,012593,,,,40 HUGHES ROAD,,MADISON,AL,35758,8,10,0%,44,3%,37,Achievement,1,87%,62,443,94%,447,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,1,5,62%,48,489,62%,458,Achievement,7,9%,53,442,5%,428,Achievement,6,10,10,10,10,68,No reduction,05/05/1999,FRESENIUS MEDICAL CARE,04/27/2006
BOAZ DIALYSIS,012594,,,,16 CENTRAL HENDERSON ROAD,,BOAZ,AL,35957,8,10,0%,41,0%,40,Achievement,10,98%,48,429,97%,430,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,80%,45,456,72%,450,Achievement,10,3%,46,433,6%,428,Achievement,10,10,10,10,10,100,No reduction,06/30/1999,GAMBRO HEALTHCARE,05/21/2007
RCG FORT PAYNE,012595,,,,2202 JORDAN ROAD SOUTHWEST,SUITE 100,FORT PAYNE,AL,35968,8,10,0%,31,0%,31,Achievement,7,91%,47,354,73%,316,Improvement,N/A,Insufficient data,N/A,55,Insufficient data,57,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,7,68%,38,395,71%,379,Achievement,9,6%,40,370,9%,349,Achievement,8,10,10,10,10,88,No reduction,05/01/1999,RENAL CARE GROUP INC.,09/14/2012
FMC MONTGOMERY BAPTIST,012596,,,,1400 NARROW LANE PARKWAY,,MONTGOMERY,AL,36111,8,10,0%,75,1%,81,Achievement,6,93%,106,858,90%,862,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,1,43%,85,893,38%,869,Improvement,2,20%,87,820,23%,814,Achievement,2,10,10,10,10,70,No reduction,08/11/1999,FRESENIUS MEDICAL CARE,05/02/2006
FMC BAY MINETTE,012597,,,,2505 HAND AVENUE,,BAY MINETTE,AL,36507,8,10,0%,21,0%,24,Achievement,5,92%,30,262,94%,274,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,10,78%,26,270,72%,288,Achievement,10,5%,28,256,3%,266,Achievement,10,10,10,10,10,88,No reduction,10/27/1999,FRESENIUS MEDICAL CARE,01/09/2012
DCI PHENIX CITY,012598,,,,1611 21ST COURT,,PHENIX CITY,AL,36867,8,10,0%,31,0%,38,Achievement,10,97%,45,423,96%,476,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,76%,39,431,61%,489,Achievement,10,3%,43,433,4%,464,Achievement,10,10,10,10,10,100,No reduction,02/09/2000,"DIALYSIS CLINIC, INC.",11/13/2009
FMC PORT CITY,012599,,,,"201 STREET JOSEPH STREET, SUITE B",,MOBILE,AL,36602,8,10,0%,57,0%,59,Achievement,3,89%,74,627,93%,701,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,8,69%,61,639,62%,691,Achievement,10,4%,64,620,5%,666,Achievement,9,10,10,10,10,80,No reduction,02/07/2001,FRESENIUS MEDICAL CARE,03/01/2010
ATMORE DIALYSIS CENTER,012600,,,,807 EAST CRAIG STREET,,ATMORE,AL,36502,8,10,0%,36,0%,33,Achievement,10,97%,45,389,97%,400,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,5,60%,42,431,66%,417,Achievement,10,1%,42,400,3%,402,Achievement,8,10,10,10,10,95,No reduction,03/14/2001,DAVITA,11/16/2006
FMC WEST,012601,,,,633 LOMB AVENUE,,BIRMINGHAM,AL,35211,8,10,0%,43,0%,54,Achievement,5,92%,61,499,91%,576,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,2,51%,49,517,53%,595,Achievement,8,8%,54,496,8%,548,Achievement,5,10,10,9,10,74,No reduction,03/27/2001,RENAL CARE GROUP INC.,04/12/2007
RUSSELLVILLE DIALYSIS,012602,,,,14897 HIGHWAY 43,,RUSSELLVILLE,AL,35653,8,10,0%,21,0%,24,Achievement,9,96%,35,251,93%,268,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,7,67%,27,273,60%,285,Achievement,8,7%,29,251,3%,247,Achievement,8,10,10,10,10,93,No reduction,06/20/2001,GAMBRO HEALTHCARE,12/20/2013
FMC FAIRFIELD (STEEL CITY),012603,,,,6508 EAST J OLIVER BOULEVARD,,FAIRFIELD,AL,35064,8,10,0%,28,0%,28,Achievement,8,95%,32,293,83%,282,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,0,29%,30,303,38%,304,Achievement,10,2%,31,284,3%,268,Achievement,5,10,10,7,10,81,No reduction,10/16/2001,RENAL CARE GROUP INC.,06/10/2011
RCG CLANTON,012604,,,,275 HEALTH CENTER DRIVE,,CLANTON,AL,35045,8,10,0%,29,0%,23,Achievement,6,93%,40,348,90%,251,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,4,57%,37,370,49%,289,Achievement,7,10%,39,343,9%,258,Achievement,6,10,10,9,10,79,No reduction,03/27/2002,RENAL CARE GROUP INC.,04/05/2011
FMC CHASE,012606,,,,1849 KEATS DRIVE NORTHWEST,,HUNTSVILLE,AL,35810,8,10,0%,81,0%,71,Achievement,8,95%,98,893,95%,799,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,4,59%,95,990,50%,843,Achievement,8,8%,98,925,11%,766,Achievement,6,10,10,10,10,85,No reduction,09/19/2002,FRESENIUS MEDICAL CARE,09/22/2010
ROANOKE DIALYSIS CLINIC,012607,,,,4459 US HIGHWAY 431,,ROANOKE,AL,36274,8,10,0%,30,0%,24,Achievement,8,95%,41,311,98%,317,Achievement,N/A,Insufficient data,N/A,40,Insufficient data,1,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,10,92%,31,319,93%,322,Achievement,10,3%,38,293,1%,309,Achievement,10,10,10,8,10,94,No reduction,01/29/2003,NOT A CHAIN,05/06/2009
RCG ONEONTA,012608,,,,"150 GILBREATH DRIVE, SUITE 1",,ONEONTA,AL,35121,8,10,0%,22,0%,29,Achievement,3,81%,33,252,72%,338,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,6,65%,29,262,65%,350,Achievement,10,4%,31,243,2%,329,Achievement,8,10,10,4,10,74,No reduction,03/26/2003,RENAL CARE GROUP INC.,05/17/2011
EUFAULA DIALYSIS,012609,,,,220 SOUTH ORANGE AVENUE,,EUFAULA,AL,36027,8,10,0%,43,0%,41,Achievement,10,97%,55,470,97%,476,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,5,62%,50,520,63%,510,Achievement,10,3%,52,493,3%,476,Achievement,8,10,10,10,10,95,No reduction,04/09/2003,GAMBRO HEALTHCARE,09/23/2011
FMC MAGNOLIA,012610,,,,7940 MOFFETT ROAD,,SEMMES,AL,36575,8,10,0%,37,2%,49,Achievement,5,92%,61,467,93%,562,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,10,81%,44,448,63%,567,Achievement,9,6%,51,442,8%,520,Achievement,9,10,10,10,10,85,No reduction,05/14/2003,FRESENIUS MEDICAL CARE,06/29/2007
FMC DALLAS COUNTY,012611,,,,200 SOUTH PARK PLACE,,SELMA,AL,36701,8,10,0%,38,2%,44,Achievement,5,92%,52,439,90%,493,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,2,51%,46,473,60%,535,Achievement,7,10%,50,445,8%,499,Achievement,5,10,10,10,10,75,No reduction,12/19/2003,FRESENIUS MEDICAL CARE,03/17/2010
FMC GARDENDALE,012612,,,,592 FIELDSTOWN ROAD,SUITE 102,GARDENDALE,AL,35071,8,10,0%,21,0%,31,Achievement,3,88%,35,257,83%,330,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,5,62%,25,258,51%,343,Achievement,10,2%,31,253,5%,334,Achievement,8,10,10,10,10,78,No reduction,12/17/2003,FRESENIUS MEDICAL CARE,03/04/2014
FMC DISCOVERY,012613,,,,"1131 EAGLETREE LANE, STE100",,HUNTSVILLE,AL,35801,8,10,0%,54,2%,58,Achievement,4,90%,73,514,92%,513,Achievement,8,89%,28,206,87%,190,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,3,56%,56,569,54%,555,Achievement,8,7%,67,538,5%,515,Achievement,6,10,10,10,10,78,No reduction,03/17/2004,FRESENIUS MEDICAL CARE,09/11/2008
FMC VALLEY CREEK,012614,,,,201 LINCOLN LANE,,SELMA,AL,36701,8,10,0%,51,2%,56,Achievement,6,93%,62,474,93%,544,Achievement,N/A,Insufficient data,N/A,83,Insufficient data,85,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,0,40%,50,496,50%,542,Achievement,8,8%,52,444,9%,522,Achievement,4,10,10,9,9,74,No reduction,04/07/2004,FRESENIUS MEDICAL CARE,11/30/2009
FMC AUBURN,012615,,,,211 EAST UNIVERSITY DRIVE,,AUBURN,AL,36832,8,10,0%,42,0%,42,Achievement,7,92%,57,514,74%,475,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,10,92%,52,565,88%,539,Achievement,10,3%,55,545,2%,518,Achievement,10,10,10,2,10,88,No reduction,06/23/2004,FRESENIUS MEDICAL CARE,01/09/2013
LANDMARK DIALYSIS,012616,,,,717 STONE AVENUE,,TALLADEGA,AL,35160,8,10,0%,68,0%,67,Achievement,10,97%,82,764,97%,806,Achievement,N/A,Insufficient data,N/A,15,Insufficient data,18,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,0,45%,73,788,44%,834,Achievement,8,8%,78,758,5%,789,Achievement,4,10,10,10,10,85,No reduction,06/09/2004,NOT A CHAIN,02/07/2012
FMC ALEXANDER CITY,012617,,,,3368 HIGHWAY 280 BYPASS,SUITE G-1,ALEXANDER CITY,AL,35010,8,10,0%,35,5%,44,Achievement,5,92%,48,419,90%,428,Achievement,N/A,Insufficient data,N/A,59,Insufficient data,59,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,9,73%,43,439,75%,431,Achievement,10,3%,45,411,4%,423,Achievement,10,10,10,10,10,88,No reduction,11/10/2004,FRESENIUS MEDICAL CARE,01/25/2012
RRC NORTHRIDGE,012618,,,,4400 WATERMELON ROAD,Suite A,NORTHPORT,AL,35473,8,10,0%,53,0%,48,Achievement,8,95%,54,490,97%,420,Achievement,9,92%,28,215,80%,149,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,0,42%,50,551,48%,521,Achievement,10,4%,54,528,4%,459,Achievement,5,10,10,10,10,83,No reduction,10/25/2006,NOT A CHAIN,07/11/2012
TUSCALOOSA NEPHROLOGY ASSOC HOME DIALYSIS,012619,,,,1649 NORTH MCFARLAND BOULEVARD,SUITE 203,TUSCALOOSA,AL,35406,8,10,0%,36,0%,23,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,70%,62,513,72%,365,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,N/A,N/A,N/A,N/A,No Score Calculated,No reduction,12/19/2006,NOT A CHAIN,01/15/2013
