Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Address 1,Address 2,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,Number of Patients Included in VAT Catheter Measure Score Achievement Period,VAT Catheter Achievement Period Numerator,VAT Catheter Achievement Period Denominator,VAT Catheter Improvement Measure Rate,VAT Catheter Improvement Period Numerator,VAT Catheter Improvement Period Denominator,VAT Catheter Measure Score Applied,VAT Fistula Measure Score,VAT Fistula Achievement Measure Rate,Number of Patients Included in VAT Fistula Measure Score Achievement Period,VAT Fistula Achievement Period Numerator,VAT Fistula Achievement Period Denominator,VAT Fistula Improvement Measure Rate,VAT Fistula Improvement Period Numerator,VAT Fistula Improvement Period Denominator,VAT Fistula Measure Score Applied,VAT Combined Measure Score,National Avg VAT Combined Measure Score,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Adult Hemodialysis Measure Score Achievement Period,Kt/V Adult Hemodialysis Achievement Period Numerator,Kt/V Adult Hemodialysis Achievement Period Denominator,Kt/V Adult Hemodialysis Improvement Measure Rate,Kt/V Adult Hemodialysis Improvement Period Numerator,Kt/V Adult Hemodialysis Improvement Period Denominator,Kt/V Adult Hemodialysis Measure Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Adult Peritoneal Dialysis Measure Score Achievement Period,Kt/V Adult Peritoneal Dialysis Achievement Period Numerator,Kt/V Adult Peritoneal Dialysis Achievement Period Denominator,Kt/V Adult Peritoneal Dialysis Improvement Measure Rate,Kt/V Adult Peritoneal Dialysis Improvement Period Numerator,Kt/V Adult Peritoneal Dialysis Improvement Period Denominator,Kt/V Adult Peritoneal Dialysis Measure Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Pediatric Hemodialysis Measure Score Achievement Period,Kt/V Pediatric Hemodialysis Achievement Period Numerator,Kt/V Pediatric Hemodialysis Achievement Period Denominator,Kt/V Pediatric Hemodialysis Improvement Measure Rate,Kt/V Pediatric Hemodialysis Improvement Period Numerator,Kt/V Pediatric Hemodialysis Improvement Period Denominator,Kt/V Pediatric Hemodialysis Measure Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,National Avg Kt/V Dialysis Adequacy Combined Measure Score,Hypercalcemia Measure Score,Hypercalcemia Achievement Measure Rate,Number of Patients Included in Hypercalcemia Measure Score Achievement Period,Hypercalcemia Achievement Period Numerator,Hypercalcemia Achievement Period Denominator,Hypercalcemia Improvement Measure Rate,Hypercalcemia Improvement Period Numerator,Hypercalcemia Improvement Period Denominator,Hypercalcemia Measure Score Applied,NHSN Measure Score,NHSN Achievement Measure Ratio,Number of Patients Included in NHSN Measure Score Achievement Period,NHSN Observed Achievement Period Numerator,NHSN Predicted Achievement Period Denominator,NHSN Improvement Measure Ratio,NHSN Observed Improvement Period Numerator,NHSN Predicted Improvement Period Denominator,NHSN Measure Score Applied,ICH CAHPS Admin Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,SRR Measure Score,SRR Achievement Measure Ratio,SRR Index Discharges,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,Total Performance Score,PY2017 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2015",Date of Ownership Record Update
FMC MONROEVILLE (WHETSTONE),012540,-,676 S ALABAMA AVE,-,MONROEVILLE,AL,36460,8,5,10%,39,37,371,10%,32,319,Achievement,5,66%,39,260,395,63%,219,347,Achievement,5,6,3,93%,38,335,361,97%,315,325,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,3,7,6,2%,49,8,482,4%,15,417,Achievement,8,0.366,60,1,2.729,0.378,1,2.643,Achievement,No Score,10,10,3,1.12,35,10,8.21,1.01,8,7.95,Achievement,62,No Reduction,9/18/1991,FRESENIUS MEDICAL CARE,8/10/2011
FMC DADEVILLE,012541,-,52 WATERWORKS RD,-,DADEVILLE,AL,36853,8,8,6%,41,25,391,5%,17,350,Achievement,10,92%,39,389,424,92%,346,376,Achievement,9,6,8,98%,41,326,333,98%,303,309,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,48,7,477,8%,35,429,Achievement,8,0.379,72,1,2.637,0.476,1,2.101,Achievement,No Score,9,10,5,0.96,40,10,10.28,0.28,2,7.17,Achievement,81,No Reduction,3/11/1992,FRESENIUS MEDICAL CARE,7/11/2000
RAINBOW CITY DIALYSIS,012542,-,2800 RAINBOW DRIVE,-,RAINBOW CITY,AL,35906,8,10,1%,37,2,312,11%,37,322,Achievement,8,74%,31,246,333,58%,199,344,Achievement,9,6,9,99%,41,314,316,99%,317,320,Achievement,9,95%,13,94,102,93%,107,115,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,66,7,549,1%,4,507,Achievement,5,1.842,65,4,2.172,4.553,13,2.856,Improvement,No Score,8,10,2,1.14,56,15,13.14,1.21,14,11.61,Achievement,71,No Reduction,5/5/1992,GAMBRO HEALTHCARE,1/2/1980
DEMOPOLIS DIALYSIS,012543,-,511 S CEDAR STREET,-,DEMOPOLIS,AL,36732,8,8,6%,55,30,540,2%,14,659,Achievement,1,54%,52,303,561,49%,352,718,Achievement,5,6,8,98%,58,525,534,98%,648,663,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,73,5,725,0%,4,859,Achievement,8,0.299,98,1,3.342,0.699,3,4.294,Achievement,10,10,10,8,0.78,57,11,14.08,0.58,10,17.17,Achievement,80,No Reduction,5/20/1992,GAMBRO HEALTHCARE,10/28/2011
OZARK DIALYSIS,012544,-,214 HOSPITAL AVENUE,-,OZARK,AL,36360,8,10,1%,41,3,395,0%,1,373,Achievement,8,74%,42,322,437,66%,271,408,Achievement,9,6,5,95%,45,366,386,98%,356,362,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,8,1%,54,6,468,2%,7,411,Achievement,1,1.749,72,4,2.287,0.594,1,1.682,Achievement,No Score,10,9,5,0.98,34,10,9.37,1.19,8,6.73,Achievement,64,No Reduction,8/4/1992,GAMBRO HEALTHCARE,6/21/2011
TUSCALOOSA DIALYSIS,012545,-,805 OLD MILL STREET,-,TUSCALOOSA,AL,35401,8,8,5%,90,41,871,4%,34,915,Achievement,1,53%,85,477,894,54%,534,981,Achievement,5,6,9,99%,93,827,832,99%,865,872,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,107,12,1017,0%,5,1060,Achievement,0,3.492,163,19,5.44,1.859,10,5.381,Achievement,10,10,10,1,1.22,135,47,38.57,0.9,39,43.47,Achievement,58,0.50%,8/11/1992,GAMBRO HEALTHCARE,8/2/2009
FMC TUSKEGEE,012546,-,802 E. MARTIN LUTHER KING HWY,-,TUSKEGEE,AL,36083,8,10,3%,57,17,572,1%,5,526,Achievement,10,83%,54,494,594,88%,496,566,Achievement,10,6,8,98%,59,569,578,98%,524,536,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,6,2%,90,18,913,5%,44,883,Achievement,7,0.521,106,2,3.837,0.562,2,3.558,Achievement,10,9,10,6,0.92,35,8,8.15,0.54,5,9.29,Achievement,80,No Reduction,5/18/1993,FRESENIUS MEDICAL CARE,2/3/2016
FMC EASTERN SHORE,012547,-,124 PROFESSIONAL PARK DR,-,FAIRHOPE,AL,36532,8,10,1%,48,6,441,1%,7,476,Achievement,2,58%,44,267,464,62%,306,492,Achievement,6,6,8,98%,54,432,440,97%,455,471,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,10,0%,66,0,596,0%,1,655,Achievement,7,0.559,116,2,3.575,1.682,6,3.567,Achievement,10,10,10,7,0.82,48,10,12.24,0.56,9,16.15,Achievement,81,No Reduction,8/1/1993,FRESENIUS MEDICAL CARE,2/8/2011
FAYETTE DIALYSIS,012548,-,2450 TEMPLE AVE N,-,FAYETTE,AL,35555,8,5,11%,35,35,319,13%,33,259,Achievement,3,61%,33,210,346,61%,174,284,Achievement,4,6,9,99%,35,299,303,99%,251,253,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,40,0,381,0%,0,311,Achievement,10,0,52,0,2.349,0,0,2.134,Achievement,No Score,9,10,0,1.31,78,30,22.89,0.73,7,9.54,Achievement,71,No Reduction,11/12/1993,GAMBRO HEALTHCARE,4/23/2010
BIO-MEDICAL APPLICATIONS OF ALABAMA INC.,012549,-,1205 BELLEVILLE AVE.,-,BREWTON,AL,36426,8,2,29%,25,84,280,40%,98,246,Improvement,2,51%,25,143,287,44%,114,261,Improvement,2,6,9,99%,23,250,253,98%,226,230,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,33,4,367,4%,13,308,Achievement,0,2.079,38,8,3.848,0.972,4,4.114,Achievement,No Score,7,10,8,0.72,26,4,5.19,0.63,3,4.76,Achievement,60,No Reduction,3/17/1994,FRESENIUS MEDICAL CARE,5/1/2013
GREENE COUNTY DIALYSIS,012550,-,544 HIGHWAY 43,-,EUTAW,AL,35462,8,8,6%,45,25,447,6%,27,445,Achievement,0,51%,42,240,467,50%,241,481,Achievement,4,6,9,99%,46,446,449,99%,441,445,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,54,0,528,0%,0,561,Achievement,7,0.662,74,2,3.022,2.334,7,2.999,Improvement,10,10,10,7,0.8,47,9,11.24,0.91,13,14.27,Achievement,79,No Reduction,6/30/1994,GAMBRO HEALTHCARE,4/29/2010
SHEFFIELD DIALYSIS,012551,-,1120 S JACKSON HWY STE 107,-,SHEFFIELD,AL,35660,8,10,2%,53,9,489,2%,8,498,Achievement,7,72%,49,369,515,70%,381,547,Achievement,9,6,7,97%,54,470,485,98%,484,494,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,6,2%,70,14,647,1%,5,624,Achievement,6,0.685,82,2,2.919,1.062,3,2.824,Achievement,10,10,10,4,1,60,15,15.06,1.3,23,17.68,Achievement,73,No Reduction,1/1/1995,GAMBRO HEALTHCARE,10/24/2009
BIO-MEDICAL APPLICATIONS OF ALABAMA INC,012552,-,65 NORTH CATHERINE STREET,-,MOBILE,AL,36604,8,8,6%,49,26,465,4%,11,272,Achievement,3,60%,47,311,520,65%,192,296,Achievement,6,6,9,99%,51,466,469,98%,285,291,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,70,0,689,0%,1,441,Achievement,7,0.549,78,2,3.644,0.736,2,2.719,Achievement,10,10,10,10,0.4,42,4,10.11,0.81,9,11.16,Achievement,87,No Reduction,7/25/2013,FRESENIUS MEDICAL CARE,7/25/2013
PCD ELMORE COUNTY,012553,-,125 HOSPITAL DRIVE,-,WETUMPKA,AL,36092,8,10,2%,30,5,244,3%,9,277,Achievement,4,64%,27,173,270,54%,169,311,Achievement,7,6,5,95%,32,231,243,96%,251,261,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,8,1%,42,3,373,2%,6,396,Achievement,4,1.202,54,2,1.664,1.035,2,1.933,Achievement,No Score,6,10,5,0.94,45,11,11.64,0.65,5,7.7,Achievement,62,No Reduction,1/30/1995,DAVITA,2/26/2011
"NNA OF ALABAMA, INC",012556,-,7067 VETERANS PKWY SUITE 120,-,PELL CITY,AL,35125,8,4,13%,29,29,219,14%,26,184,Achievement,0,44%,26,107,243,49%,101,207,Achievement,2,6,6,96%,31,209,218,92%,173,189,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,6,2%,42,6,315,4%,13,300,Achievement,5,0.806,55,2,2.482,1.352,3,2.219,Achievement,No Score,9,10,0,1.28,36,13,9.38,0.89,4,4.49,Achievement,51,0.50%,6/1/1995,FRESENIUS MEDICAL CARE,5/20/2010
PCD EAST MONTGOMERY,012557,-,6890 WINTON BLOUNT BLVD,-,MONTGOMERY,AL,36117,8,9,4%,45,16,415,8%,33,435,Achievement,0,32%,44,145,460,37%,169,451,Achievement,5,6,9,99%,46,423,428,99%,398,404,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,64,6,646,0%,0,628,Achievement,4,1.131,90,4,3.535,1.253,4,3.191,Achievement,10,9,9,10,0.63,45,6,9.58,1.28,16,12.49,Achievement,77,No Reduction,6/1/1995,DAVITA,10/24/2009
DCI DECATUR,012558,-,1601 6TH AVENUE SOUTH EAST,-,DECATUR,AL,35601,8,5,10%,114,105,1052,12%,123,1011,Achievement,7,71%,110,812,1138,67%,743,1103,Achievement,6,6,3,93%,115,924,993,93%,902,965,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,3,7,1,6%,147,83,1405,7%,92,1316,Improvement,5,0.835,184,9,10.777,0.8,8,10.003,Achievement,10,10,10,7,0.8,156,33,41.31,1.17,40,34.04,Achievement,60,No Reduction,5/24/1995,"DIALYSIS CLINIC, INC.",1/12/2000
FMC UNIVERSITY SOUTH ALABAMA,012559,-,700 CLINIC DRIVE,-,MOBILE,AL,36688,8,10,2%,57,10,546,6%,35,546,Achievement,0,49%,53,274,562,50%,286,568,Achievement,5,6,6,96%,55,479,500,92%,464,506,Achievement,8,91%,12,89,107,No Rate,,,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,8,1%,88,7,829,2%,19,821,Achievement,2,1.58,84,5,3.165,0.862,3,3.481,Achievement,10,8,10,4,1.01,68,18,17.8,0.94,13,13.76,Achievement,59,0.50%,1/14/1995,FRESENIUS MEDICAL CARE,1/4/2011
FMC HAMILTON,012560,-,1256 MILITARY STREET SOUTH,-,HAMILTON,AL,35570,8,5,10%,17,22,160,19%,32,169,Achievement,10,83%,17,143,173,77%,137,178,Achievement,8,6,8,98%,18,146,151,98%,152,155,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,4,3%,22,7,188,2%,4,179,Achievement,10,0,28,0,1.342,0.623,1,1.605,Achievement,No Score,10,10,9,0.71,29,5,6.77,0.79,6,7.6,Achievement,86,No Reduction,12/11/1995,RENAL CARE GROUP INC.,9/17/2004
FMC LAKEVIEW,012561,-,"45 MEDICAL PARK DR., STE A",-,GUNTERSVILLE,AL,35976,8,7,8%,65,45,586,6%,33,532,Achievement,5,65%,61,414,637,62%,365,591,Achievement,6,6,9,99%,67,557,565,93%,458,491,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,82,2,775,1%,10,704,Achievement,7,0.403,114,2,4.959,1.208,6,4.965,Achievement,10,10,10,10,0.56,63,9,16.09,0.81,13,16.01,Achievement,87,No Reduction,12/7/1995,FRESENIUS MEDICAL CARE,7/11/2000
DCI PELL CITY,012562,-,62 COGSWELL DRIVE,-,PELL CITY,AL,35125,8,10,2%,31,5,258,0%,0,272,Achievement,5,66%,30,187,285,71%,196,277,Achievement,8,6,8,98%,32,255,259,97%,271,279,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,6,2%,47,8,360,3%,12,376,Achievement,5,0.888,55,2,2.251,0.611,1,1.636,Achievement,No Score,10,10,9,0.69,34,6,8.49,1.07,5,4.65,Achievement,80,No Reduction,12/13/1995,"DIALYSIS CLINIC, INC.",1/11/2012
DCI CULLMAN,012563,-,1734 EVA ROAD NE,-,CULLMAN,AL,35055,8,3,14%,72,82,605,12%,75,643,Achievement,5,65%,67,424,651,64%,443,688,Achievement,4,6,6,96%,74,557,581,98%,585,600,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,2,4%,92,29,808,4%,32,827,Achievement,0,1.976,114,14,7.086,0.317,2,6.301,Achievement,10,10,10,9,0.66,100,17,25.76,0.66,11,16.68,Achievement,58,0.50%,1/4/1996,"DIALYSIS CLINIC, INC.",10/24/2009
SOUTH BALDWIN DIALYSIS CENTER,012565,-,150 W PEACHTREE AVE,-,FOLEY,AL,36535,8,10,2%,17,3,139,5%,6,132,Achievement,2,51%,16,49,151,44%,64,146,Improvement,6,6,9,99%,20,129,131,99%,116,117,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,0,6%,31,12,217,4%,7,182,Achievement,0,2.023,58,3,1.483,1.409,2,1.419,Achievement,No Score,9,10,6,0.87,27,6,5.95,0.97,5,5.17,Achievement,57,0.50%,4/2/1996,DAVITA,7/11/2000
FMC SYLACAUGA,012566,-,314 WEST SPRING STREET,-,SYLACAUGA,AL,35150,8,2,15%,29,41,265,8%,20,254,Achievement,3,60%,28,171,287,48%,133,276,Achievement,2,6,8,98%,33,267,273,97%,237,245,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,36,5,371,7%,25,357,Achievement,10,0,52,0,2.37,0.797,2,2.509,Achievement,No Score,9,10,10,0.27,18,1,3.71,0.38,2,5.33,Achievement,81,No Reduction,7/16/1996,RENAL CARE GROUP INC.,10/24/2009
FMC PARKWAY,012568,-,1311 N MEMORIAL PKWY STE 100,-,HUNTSVILLE,AL,35801,8,7,7%,54,37,526,3%,17,531,Achievement,7,71%,52,388,550,78%,421,538,Achievement,7,6,9,99%,54,494,499,95%,491,518,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,6,2%,64,15,613,6%,34,577,Achievement,10,0,80,0,3.577,0.609,2,3.286,Achievement,10,10,10,7,0.84,64,13,15.56,1.17,19,16.18,Achievement,84,No Reduction,9/3/1996,FRESENIUS MEDICAL CARE,1/2/1980
NORTHPORT DIALYSIS,012570,-,2401 HOSPITAL DRIVE,-,NORTHPORT,AL,35476,8,5,10%,57,50,491,8%,39,501,Achievement,1,53%,53,284,537,61%,335,550,Achievement,3,6,7,97%,62,472,486,97%,460,475,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,6,2%,73,14,642,1%,9,656,Achievement,3,1.622,107,6,3.7,2.37,8,3.375,Improvement,10,10,10,0,1.31,149,59,45.04,1.14,42,36.78,Achievement,52,0.50%,12/3/1996,GAMBRO HEALTHCARE,4/19/2011
DCI GEORGIANA,012571,-,P O BOX 618,-,GEORGIANA,AL,36033,8,10,3%,25,9,269,4%,7,170,Achievement,1,45%,23,124,284,41%,98,238,Improvement,6,6,8,98%,25,264,269,97%,176,182,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,4,3%,31,12,344,0%,1,231,Achievement,4,1.107,31,2,1.807,No Rate,,N/A,Achievement,No Score,10,10,6,0.86,18,5,4.31,0,0,3.13,Achievement,68,No Reduction,12/31/1996,"DIALYSIS CLINIC, INC.",10/24/2009
FMC CAMELLIA,012572,-,350 PAUL STABLER DRIVE,-,GREENVILLE,AL,36037,8,2,15%,59,87,593,14%,79,552,Achievement,2,57%,59,357,630,53%,307,579,Achievement,2,6,5,95%,61,558,585,89%,471,527,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,10,0%,83,0,830,1%,7,736,Achievement,8,0.397,97,2,5.04,0,0,5.252,Achievement,10,8,9,3,1.08,57,15,13.82,0.71,7,9.89,Achievement,62,No Reduction,2/12/1997,FRESENIUS MEDICAL CARE,7/9/2015
DCI BIRMINGHAM,012573,-,8713 PARKWAY EAST,-,BIRMINGHAM,AL,35206,8,10,3%,34,12,346,3%,11,374,Achievement,0,50%,33,180,357,56%,215,387,Achievement,5,6,8,98%,35,338,344,96%,353,369,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,4,3%,55,15,495,2%,14,588,Achievement,3,1.385,62,3,2.166,0.766,2,2.61,Achievement,10,10,10,3,1.08,41,10,9.18,0.64,7,10.87,Achievement,60,No Reduction,12/18/1997,"DIALYSIS CLINIC, INC.",10/24/2009
FMC CHAMBERS,012574,-,802 HOSPITAL STREET,-,LAFAYETTE,AL,36862,8,9,4%,28,13,291,8%,24,283,Achievement,10,94%,28,282,299,87%,266,305,Achievement,10,6,7,97%,30,273,281,93%,242,261,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,2%,33,8,348,10%,33,321,Improvement,10,0,39,0,1.387,0.538,1,1.859,Achievement,No Score,8,10,7,0.84,28,6,6.36,0.78,5,6.43,Achievement,86,No Reduction,6/10/1997,FRESENIUS MEDICAL CARE,6/10/1997
RCG WALKER,012575,-,3510 3RD STREET NE,-,JASPER,AL,35504,8,2,16%,52,63,400,11%,43,398,Achievement,0,45%,46,196,434,47%,207,443,Achievement,1,6,5,95%,53,380,400,93%,356,383,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,6,3%,64,19,578,9%,54,574,Improvement,3,1.32,89,6,4.546,1.068,5,4.681,Achievement,10,10,10,4,1.06,102,23,21.68,1.4,37,26.49,Improvement,52,0.50%,1/8/1998,RENAL CARE GROUP INC.,3/18/2011
DCI MONTGOMERY,012576,-,544 SOUTH MCDONOUGH STREET,-,MONTGOMERY,AL,36104,8,5,11%,61,38,347,10%,58,599,Achievement,0,48%,60,242,501,46%,289,635,Achievement,3,6,8,98%,62,415,423,94%,565,599,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,0,8%,103,66,800,7%,72,1100,Achievement,0,No Rate,123,N/A,N/A,0.258,2,7.75,Achievement,No Score,10,10,9,0.69,41,7,10.12,0.45,5,11.2,Achievement,57,0.50%,6/5/1998,"DIALYSIS CLINIC, INC.",1/2/1980
RCG SOUTHSIDE,012578,-,2131 MAGNOLIA AVE SOUTH #100,-,BIRMINGHAM,AL,35205,8,6,9%,45,39,411,5%,18,391,Achievement,0,36%,42,160,448,36%,145,407,Achievement,3,6,5,95%,44,377,396,98%,390,400,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,6,3%,50,15,545,8%,38,495,Improvement,10,0,108,0,3.164,0.316,1,3.169,Achievement,No Score,8,10,3,1.08,48,12,11.08,0.33,3,9.12,Achievement,63,No Reduction,6/18/1998,RENAL CARE GROUP INC.,9/27/2012
FMC DAUPHIN ISLAND PKWY,012579,-,2381 DAUPHIN ISLAND PARKWAY,-,MOBILE,AL,36605,8,9,4%,58,22,523,2%,10,564,Achievement,2,57%,51,312,548,66%,398,606,Achievement,6,6,7,97%,56,501,514,95%,547,576,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,10,0%,83,1,791,1%,7,813,Achievement,0,1.974,120,10,5.066,1.505,6,3.986,Achievement,No Score,10,10,6,0.89,92,22,24.74,1.41,33,23.38,Achievement,66,No Reduction,7/8/1998,FRESENIUS MEDICAL CARE,1/2/1980
FMC THOMASVILLE,012580,-,30230 HWY 43,-,THOMASVILLE,AL,36784,8,5,10%,43,40,412,4%,17,432,Achievement,0,40%,40,171,424,47%,221,466,Achievement,3,6,6,96%,42,385,399,97%,424,438,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,8,1%,58,3,573,1%,3,561,Achievement,8,0.307,67,1,3.257,0,0,3.119,Achievement,10,10,10,7,0.8,39,8,9.84,0.93,14,15.05,Achievement,72,No Reduction,9/15/1998,FRESENIUS MEDICAL CARE,5/20/2011
FMC WILCOX,012582,-,229 CAMDEN BYPASS,-,CAMDEN,AL,36726,8,7,7%,30,19,270,3%,9,268,Achievement,1,53%,28,152,288,52%,155,297,Achievement,4,6,8,98%,31,258,264,99%,267,271,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,10,0%,35,0,305,0%,1,295,Achievement,5,0.935,48,2,2.138,0,0,1.739,Achievement,No Score,9,10,0,1.4,34,11,6.97,0.44,3,6.77,Achievement,62,No Reduction,11/4/1998,FRESENIUS MEDICAL CARE,7/11/2000
BESSEMER DIALYSIS,012583,-,901 WESTLAKE MALL,STE 101,BESSEMER,AL,35020,8,2,16%,41,58,363,17%,76,445,Achievement,0,38%,37,147,388,35%,166,479,Achievement,1,6,7,97%,39,321,330,98%,386,394,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,1%,62,4,603,3%,19,644,Achievement,5,0.839,99,3,3.574,1.983,9,4.538,Achievement,10,8,10,10,0.13,33,1,7.79,0.91,9,9.85,Achievement,69,No Reduction,8/1/1998,GAMBRO HEALTHCARE,8/29/2011
ENSLEY DIALYSIS,012585,-,2630 AVENUE E,-,BIRMINGHAM,AL,35218,8,4,12%,61,63,538,11%,64,588,Achievement,0,49%,56,281,576,49%,300,613,Achievement,2,6,10,100%,67,529,530,99%,572,577,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,8,1%,87,7,799,1%,9,858,Achievement,0,3.206,128,18,5.614,1.955,11,5.628,Achievement,10,10,10,0,1.28,110,42,32.85,0.71,11,15.6,Achievement,53,0.50%,8/1/1998,GAMBRO HEALTHCARE,1/2/1980
SYLACAUGA DIALYSIS,012588,-,331 JAMES PAYTON BLVD,-,SYLACAUGA,AL,35150,8,7,7%,41,29,425,11%,36,332,Achievement,2,58%,40,258,446,52%,184,353,Achievement,5,6,9,99%,43,413,417,99%,326,328,Achievement,No Score,No Rate,<11,,,100%,86,86,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,4,3%,57,19,590,1%,3,491,Achievement,4,1.096,65,3,2.737,1.559,5,3.208,Achievement,No Score,10,10,4,0.99,61,14,14.21,0.79,10,12.59,Achievement,65,No Reduction,8/1/1998,GAMBRO HEALTHCARE,8/10/2011
BIRMINGHAM NORTH DIALYSIS,012589,-,1917 32ND AVENUE NORTH,-,BIRMINGHAM,AL,35207,8,10,3%,73,24,707,5%,37,752,Achievement,2,58%,68,420,730,51%,396,775,Achievement,6,6,9,99%,74,713,720,100%,750,751,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,110,1,1102,0%,1,1124,Achievement,3,1.647,159,9,5.463,2.49,14,5.622,Improvement,10,10,10,3,1.12,57,15,13.34,0.99,16,16.23,Achievement,69,No Reduction,8/1/1998,GAMBRO HEALTHCARE,10/19/2002
